time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.066709,56.11,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.304283,60.05,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.30714,56.13,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.317798,62.8,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.715848,68.07,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.722401,62.8,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.730088,59.98,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.113489,60.11,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.120043,63.07,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.124102,68.08,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.501993,67.97,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.50807,62.89,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.521108,60.04,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.856891,60.05,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.863127,65.33,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.867934,68.0,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.98587,66.08,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.345258,49.02,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.348161,56.16,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.358047,61.07,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.362424,62.95,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.371857,68.1,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.509408,59.84,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.635734,56.12,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.64782,60.05,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.651471,62.59,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.663308,68.02,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.781585,68.07,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.792197,62.96,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.803535,60.04,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.810111,56.18,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.178206,51.15,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.182582,56.16,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.189544,60.09,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.199793,68.1,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.201902,63.05,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.598841,68.06,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.614532,63.08,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.615802,60.1,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.863376,68.04,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.875485,60.1,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.953739,51.32,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.982809,60.96,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.98485,65.09,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.996483,68.08,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.247979,51.19,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.253104,56.19,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.260814,60.07,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.517934,60.1,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.52392,63.01,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.530904,68.06,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.772922,61.08,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.780179,62.51,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.905145,68.09,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.914351,62.75,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.92451,61.11,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.021675,60.07,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.117594,68.03,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.283489,51.19,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.29222,56.17,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.294805,60.1,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.307594,68.07,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.307911,63.08,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.552968,61.07,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.667548,67.71,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.677299,64.01,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.687866,61.07,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.796619,60.07,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.83714,56.18,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.038909,51.11,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.047322,56.15,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.052469,60.1,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.060111,62.96,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.064555,68.06,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.32909,61.08,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.340995,64.91,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.464374,68.06,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.477163,62.83,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.479612,53.86,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.489952,60.09,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.567344,56.24,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.841925,44.14,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.853263,51.16,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.86129,56.14,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.864873,60.08,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.87519,63.03,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.077594,51.09,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.11163,44.08,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.133875,56.12,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
