time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.282424,51.24,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.595644,61.11,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.899205,50.14,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.902107,60.08,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.733694,49.44,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.845372,51.16,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.093944,61.1,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.407028,50.14,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.417164,60.07,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.231971,49.24,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.367595,51.14,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.630588,61.09,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.902424,51.26,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.038751,50.19,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.056733,60.09,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.569953,60.1,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.811948,48.19,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.817028,58.09,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.120678,58.06,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.431019,48.16,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.220565,45.24,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.538139,48.15,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.54247,57.08,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.806982,57.06,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.700837,45.24,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.029205,48.16,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.301585,57.07,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.180293,50.29,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.193354,60.11,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.342039,62.99,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.344941,53.11,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.726824,51.11,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.75213,61.07,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.826075,56.19,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.211631,50.11,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.216688,60.09,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.920157,60.14,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.153377,59.07,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.461631,58.09,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.754307,55.06,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.766846,59.03,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.116846,58.07,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.360316,55.01,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.710429,59.04,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.277277,55.1,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.597028,58.09,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.94408,55.04,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.220157,60.1,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.22383,65.08,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.719,59.07,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.737164,55.05,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.395259,58.08,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.000452,57.07,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.651313,56.08,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.251404,55.06,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.578434,56.07,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.855894,55.04,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.148819,53.2,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.467663,52.15,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.766325,53.2,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.085826,52.18,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.406302,50.11,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
