time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.137843,54.16,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.307276,66.07,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.482265,54.14,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.648795,66.06,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.823784,54.18,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.97578,66.03,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.124464,54.18,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.449068,54.18,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.605235,66.06,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.795145,54.14,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.944306,66.05,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.109385,54.13,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.263829,66.06,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.420768,54.22,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.58324,56.09,4,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.59807,67.96,2,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.708705,57.14,4,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.881925,69.02,2,14,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.047049,57.2,4,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.197594,69.01,2,14,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.356913,57.26,4,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.448977,56.21,4,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.576052,68.08,2,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.750315,56.21,4,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.814623,66.04,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.870678,54.13,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.19934,54.15,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.31129,66.1,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.520315,54.1,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.620224,66.06,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.848297,54.26,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.010859,64.09,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.172877,54.18,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.324442,64.02,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.494487,61.13,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.64909,64.05,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.813693,54.18,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.961879,64.06,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.09485,61.14,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.268569,64.05,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.417254,54.19,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.569113,64.05,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.714805,59.15,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.052696,61.16,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.359997,59.11,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.675371,57.21,4,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.31426,54.15,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.651879,54.14,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.657163,54.02,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.775893,57.18,4,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.941471,59.15,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.107571,61.16,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.263898,64.06,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.627367,61.16,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.791244,64.06,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.945009,66.06,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.274646,64.03,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.421154,66.07,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.56061,69.05,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.880428,66.06,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.008795,64.03,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.038523,69.12,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.197367,71.16,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.199544,64.02,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.503081,69.13,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.66265,71.1,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.818047,73.03,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.152446,73.01,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.167752,68.06,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.473059,69.15,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.778387,64.02,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.791131,69.17,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.797662,73.03,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.134102,66.03,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.145938,69.07,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.45163,66.05,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.464374,69.03,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.468297,76.04,0,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.725303,73.03,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.966551,69.03,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.988614,66.02,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.379839,69.02,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.668478,69.08,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.676256,73.03,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.777254,71.1,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.008501,69.03,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.331925,67.06,2,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.625054,66.06,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.638682,69.04,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.960405,69.12,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.981585,66.09,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.881947,64.05,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.967503,64.5,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.083535,64.04,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.19095,61.11,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.568727,61.14,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.885553,61.15,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.034963,61.14,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.227911,59.14,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.395439,61.1,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
