time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.007842,66.74,2,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.007842,70.83,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.007978,60.08,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.009293,75.99,0,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.392559,60.05,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.396255,67.04,2,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.399293,71.01,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.411652,76.03,0,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.079157,76.06,0,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.087774,71.0,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.09435,66.92,2,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.428046,62.06,3,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.449951,74.04,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.621334,62.09,3,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.86757,74.0,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.876232,71.03,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.887275,66.0,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.034305,54.99,4,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.049747,62.1,3,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.384214,74.0,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.413284,55.01,4,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.430246,62.1,3,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.797434,61.86,3,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.803126,66.04,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.814985,71.06,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.826618,73.19,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.988976,52.19,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.191652,45.04,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.201017,52.03,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.20274,55.08,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.223715,60.05,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.614259,55.09,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.618001,59.56,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.621674,64.04,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.631697,72.1,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.265892,72.13,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.27528,64.04,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.282468,59.54,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.28757,55.11,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.65435,72.13,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.661516,64.04,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.672355,59.93,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.677457,55.12,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.192559,52.0,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.197185,59.15,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.202264,61.76,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.207298,67.04,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.21884,71.11,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.597888,61.87,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.59791,67.05,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.610903,70.95,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.98342,59.0,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.983511,51.95,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.984872,61.92,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.999361,66.98,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.371833,52.97,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.37333,60.03,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.379883,64.13,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.386323,69.03,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.393761,72.01,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.774781,52.97,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.775507,60.14,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.778409,64.13,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.786572,69.06,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.800337,72.08,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.408001,72.06,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.416005,69.05,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
