time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.01723,65.03,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.437638,69.02,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.507751,50.05,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.828976,67.01,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.228364,65.05,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.623987,64.05,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.033579,67.03,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.437933,64.07,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.807434,62.06,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.217003,60.06,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.628681,69.03,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.665121,62.1,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.665144,60.55,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.028046,60.06,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.052831,62.07,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.439815,69.04,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.468228,62.08,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.750268,68.03,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.844191,59.08,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.8646,62.11,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.225348,68.04,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.255189,62.1,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.615937,58.07,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.639271,62.1,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.656776,67.03,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.990541,67.05,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.997185,62.11,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.189498,65.72,0,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.441584,57.09,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.478024,62.11,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.502808,66.04,0,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.805801,57.18,4,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.099566,56.17,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.248976,65.04,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
