time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.00417,53.23,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.004759,61.17,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.004805,55.75,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.004895,49.32,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.007662,65.12,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.684918,49.34,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.693852,55.82,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.694056,53.21,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.701789,61.17,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.708727,65.11,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.166301,65.1,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.171947,61.17,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.177072,55.72,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.184328,53.2,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.491698,65.08,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.494578,55.72,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.495258,61.13,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.519226,53.19,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.521176,49.29,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.620156,53.19,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.672718,44.21,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.954487,44.29,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.960587,53.18,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.960655,55.66,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.967072,46.09,4,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
