time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.113537,64.09,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.291655,72.07,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.295782,64.07,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.526961,64.09,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.714989,72.1,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.715556,64.07,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.83898,72.07,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.943628,64.1,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.127914,72.08,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.13068,64.07,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.29678,64.08,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.317687,72.07,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.533878,72.09,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.748685,64.11,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.945125,71.04,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.946712,64.08,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.143152,71.08,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.171542,64.09,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.360839,64.07,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.361088,71.06,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.524263,72.04,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.591678,64.08,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.790862,72.08,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.973356,70.1,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.99458,64.09,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.200839,70.13,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.202018,64.09,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.384082,64.1,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.398844,69.05,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.810136,64.11,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.819773,70.11,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.030567,69.04,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.036485,64.09,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.276961,67.14,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.430726,64.1,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.69,64.08,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.698707,69.03,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.910431,69.04,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.912676,64.07,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.102698,62.1,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.115601,64.09,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.324739,64.08,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.539161,60.13,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.548073,64.14,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.740295,64.13,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.744422,60.1,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.15542,69.07,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.160771,60.1,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.16483,64.14,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.382902,60.03,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.39941,64.07,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.788866,57.51,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.797778,61.86,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.907279,64.06,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.908526,60.03,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
