time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.007662,49.2,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.302015,65.06,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.307412,61.1,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.308274,53.15,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.619839,44.22,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.777548,55.98,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.94231,53.14,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.078455,61.09,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.213353,49.19,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.513308,53.23,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.687344,56.07,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.80578,44.23,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.132809,65.06,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.138546,61.1,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.145734,53.16,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.453217,49.13,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.707412,65.06,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.709839,61.1,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.719204,53.13,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.034396,51.13,3,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.184487,61.09,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.195077,53.15,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.335734,53.12,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.442537,61.11,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.628705,49.16,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.905938,53.1,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.045576,61.1,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.232741,44.13,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.375576,65.07,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.548954,53.12,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.655848,56.06,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
