time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.052698,48.14,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.342245,52.15,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.508435,60.1,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.663991,43.07,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.813628,64.03,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.95483,52.16,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.122472,55.04,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.261361,48.11,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.553787,60.02,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.554354,64.03,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.570907,52.19,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.874671,43.03,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.030113,55.0,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.20356,52.17,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.343061,50.07,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.350454,59.03,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.502404,43.03,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.777551,50.06,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.790726,67.09,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.102766,47.11,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.262426,55.0,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.38483,50.04,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.553265,59.03,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.688073,43.01,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.860816,55.0,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.006508,50.04,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.172426,59.02,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.333673,47.19,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.661701,67.07,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.662721,50.04,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.66678,59.02,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.992744,45.1,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.028367,57.16,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.25712,52.19,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.264286,67.1,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.268639,60.04,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.561791,45.09,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.688458,57.19,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.817846,52.19,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.964331,60.07,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.138503,45.13,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.429184,64.02,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.43356,60.07,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.442834,52.14,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.738186,40.01,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.065465,52.16,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.212494,59.02,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.216689,59.03,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.357891,40.04,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.395533,52.17,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.397415,49.0,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.53542,63.94,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.676916,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.71542,59.11,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.832948,55.04,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.991995,47.26,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.3078,52.11,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.316372,64.01,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.321451,59.06,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.484014,55.05,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.6261,40.01,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.779365,59.02,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.909819,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.1039,55.03,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.256553,47.18,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.413311,55.04,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.522426,52.1,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.65381,59.47,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.778662,57.17,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.788821,53.2,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.791746,41.16,5,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.103379,65.06,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.118481,60.08,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.137755,53.08,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.403878,48.25,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.566213,57.11,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.700136,52.75,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.849887,60.09,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.998209,41.12,5,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.150023,56.99,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.326372,53.07,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.483991,60.09,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.576531,41.07,5,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.671542,48.29,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.815646,65.06,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.958889,53.12,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.121587,56.96,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.236259,55.01,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.282086,48.25,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.559274,52.14,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.569297,64.02,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.57585,60.12,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.848821,43.08,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.000045,55.0,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.169116,52.2,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.312381,60.04,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.494376,48.12,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.803991,64.02,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.818798,52.15,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.109751,43.1,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.2761,54.81,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.421497,52.14,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.579138,60.08,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.736735,41.06,5,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.75678,57.21,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.761746,53.17,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.78932,48.22,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.011746,65.05,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.014036,53.13,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.333651,48.24,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.459592,57.13,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.744036,60.09,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.926213,41.11,5,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.075873,56.83,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.241315,53.09,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.385261,60.07,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.548844,48.21,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.699909,57.13,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.838209,53.13,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.990748,59.49,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.149683,43.0,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.475828,67.03,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.481497,59.01,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.488753,50.07,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.760998,45.11,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.893741,55.35,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.079116,50.1,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.105714,67.06,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.261723,58.73,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.377687,45.1,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.399365,51.66,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.517551,46.67,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.744036,50.1,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.751429,45.08,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.764649,67.03,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.764671,58.83,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.049796,45.14,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.153469,47.14,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.3039,45.09,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.330771,50.11,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.514082,59.03,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.527234,63.58,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.611247,59.97,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.632948,50.57,3,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.666916,48.13,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.929002,60.17,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.939002,52.13,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.941769,64.03,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.229252,43.09,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.357959,55.0,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.500771,52.19,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.641587,60.05,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.850272,67.08,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.858254,52.1,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.125556,48.09,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.482925,64.02,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.488617,60.18,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.490181,52.17,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.754376,52.17,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.909297,55.0,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.049615,52.15,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.059932,43.02,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.359206,50.14,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.359206,58.96,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.359365,67.09,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.668934,50.1,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.824943,55.0,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.928798,43.05,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.997823,47.07,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.113016,59.0,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.306032,67.06,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.308526,50.04,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.595147,43.06,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.922268,62.05,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.957778,42.97,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.240726,50.11,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.405465,55.04,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.536667,57.01,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.552336,45.12,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.817778,64.03,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.818186,60.07,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.84127,52.2,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.07195,45.09,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.264467,57.05,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.418571,45.07,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.579683,60.06,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.7,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.011882,64.03,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.06,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.36356,45.09,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.650045,60.12,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.651497,57.08,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.96195,40.04,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.264104,64.03,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.269909,59.04,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.274263,52.1,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
