time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.01215,58.13,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.033238,51.04,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.664735,67.06,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.708748,63.08,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.724032,58.14,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.933374,50.99,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.161152,50.98,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.38249,62.96,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.392444,67.07,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.882014,51.0,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.547478,58.13,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.562921,63.05,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.815664,51.02,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.047728,51.0,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.274485,57.75,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.741741,51.03,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.430426,63.05,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.443488,58.13,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.62961,51.03,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.896073,51.03,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.329905,63.04,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.354621,58.13,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.363374,51.03,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.573714,51.02,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.295528,58.13,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.306413,63.04,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.771288,51.03,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.459156,43.92,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.470902,51.08,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.168317,60.03,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.180902,56.11,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.367955,44.09,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.618726,56.11,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.869202,63.0,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.884417,60.04,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.062104,60.04,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.069837,56.11,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.325868,44.03,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.339859,51.05,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.975098,56.11,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.002626,60.02,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.459542,51.05,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.702785,60.01,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.712921,56.12,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.929791,56.09,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.164961,51.02,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.877592,63.04,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.892626,58.13,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.061991,51.02,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.335256,50.98,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.561764,63.04,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.564463,58.13,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.573646,67.04,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.752535,63.05,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.808113,58.13,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.052308,51.02,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.740268,63.04,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.755302,58.12,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.909746,58.11,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.922444,51.08,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.186277,51.04,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.425846,51.05,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.438975,63.01,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.472558,67.08,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.890041,46.1,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.90088,52.99,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.587002,62.03,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.596889,58.1,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.765868,46.11,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.049633,53.0,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.280063,62.04,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.295324,65.03,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.489655,62.03,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.493011,58.11,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.732671,46.08,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.983011,58.2,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.413011,60.06,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.415438,56.16,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.446005,51.12,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.473964,44.19,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.677683,44.11,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.916662,51.07,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.138794,60.07,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.144145,63.1,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.335143,51.12,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.624735,51.05,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.113873,67.04,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.327501,63.03,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.34249,58.12,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.566367,51.01,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.811288,51.03,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.008952,62.96,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.01258,67.04,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.254327,58.11,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.270358,51.03,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.48741,51.03,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.197388,63.04,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.211175,58.12,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.41961,51.0,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.66376,51.0,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.878884,63.05,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.884689,67.08,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.070381,63.03,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.11385,51.03,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.139474,58.12,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
