time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.008522,63.0,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.18317,63.01,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.408952,65.02,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.612785,63.0,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.865347,63.14,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.382535,60.13,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.588703,58.14,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.260744,60.1,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.493261,63.03,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.732354,63.11,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.092104,62.99,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.124803,67.04,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.347909,70.09,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.593533,67.06,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.833125,65.04,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.065687,63.0,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.279361,65.01,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.532739,65.12,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.959814,65.04,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.156821,62.98,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.449633,70.15,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.658249,67.06,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.993737,67.13,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.056481,45.1,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.099315,50.11,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.150948,70.11,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.551878,67.1,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.792422,67.07,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.219497,65.04,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.488408,67.04,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.700608,65.0,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.920562,63.0,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.119293,66.55,2,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.371651,67.07,2,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.511175,62.97,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.734281,64.99,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.970948,63.01,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.197705,63.0,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.438249,63.0,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.660404,62.99,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.890766,62.96,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.128907,70.09,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.365098,72.01,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.586753,75.06,0,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.816163,72.03,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.074893,70.06,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.54122,67.17,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.993261,70.06,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.221923,67.06,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.476277,64.99,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.960789,64.97,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.190449,67.01,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.382785,65.0,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.616798,63.11,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.34639,60.09,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.576322,62.99,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.80088,65.02,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.235256,65.01,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.375211,66.92,2,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.699633,63.0,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.924689,63.06,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
