time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.04411,59.12,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.057602,51.99,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.706445,71.03,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.710618,64.04,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.717874,67.1,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.732069,59.12,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.098622,64.04,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.123498,59.11,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.372999,52.0,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.384631,58.77,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.397829,64.03,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.405652,67.11,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.820368,45.09,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.841411,52.07,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.842568,55.06,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.520572,69.04,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.533203,64.03,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.547715,55.09,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.549166,61.07,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.556831,52.05,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.573928,45.1,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.679053,45.12,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.947194,61.08,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.973316,55.09,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.201593,51.32,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.210005,61.1,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.211411,54.99,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.216604,63.72,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.664087,57.13,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.671751,62.03,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.346468,62.03,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.353815,66.07,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.370799,57.11,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.752092,62.04,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.788441,57.12,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.475878,43.03,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.496604,50.06,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.508123,55.14,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.511026,59.01,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.218804,59.04,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.235176,55.14,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
