time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.022387,67.28,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.242342,67.05,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.493952,69.08,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.72665,69.12,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.986922,69.03,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.484247,70.18,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.812229,69.25,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.246786,45.2,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.334201,74.07,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.561254,71.04,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.809077,69.07,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.083634,71.05,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.315789,67.04,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.563113,69.05,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.813294,67.04,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.075562,69.01,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.250392,66.99,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.571843,69.06,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.810278,67.22,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.573476,67.06,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.786537,69.05,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.303113,63.99,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.574995,63.99,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.828805,64.0,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.075403,64.01,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.337444,62.01,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.592705,62.02,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.840029,59.03,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.103929,59.0,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.36622,59.01,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.625086,59.0,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.845857,57.15,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.111752,57.1,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.364655,57.14,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.637217,57.1,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.872818,57.13,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.096242,57.12,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.3486,55.14,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.60699,57.14,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.860551,58.99,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
