time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.530275,72.17,1,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.048529,72.16,1,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.145694,69.98,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.289232,69.94,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.524765,72.23,1,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.030184,77.06,0,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.113087,72.08,1,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.126624,76.1,0,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.437214,72.2,1,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.812429,72.12,1,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.53803,72.0,1,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.638824,69.94,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.06422,72.05,1,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.159935,69.92,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.307236,67.03,2,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.450751,69.95,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.573495,67.06,2,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.817191,67.05,2,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.07422,66.93,2,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.291023,64.11,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.420116,65.22,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.064697,65.22,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.197395,63.08,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
