time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.930071,64.02,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.230456,50.08,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.249504,62.89,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.274787,69.16,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.447554,69.12,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.600592,66.02,0,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.752202,64.07,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.917667,66.02,0,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.06871,64.05,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.351703,61.06,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.356669,66.0,0,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.692815,64.11,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.851341,61.03,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.019504,59.06,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.165649,61.03,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.316896,59.08,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.588393,57.1,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.755921,59.25,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.486737,59.12,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.130864,59.07,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.265672,54.21,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.431749,54.18,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.5993,54.13,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
