time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.489917,57.12,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.602298,59.07,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.756107,62.12,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.409985,64.36,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.666923,62.14,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.325608,62.0,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.442343,64.03,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.053046,59.06,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.239282,61.98,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.545563,64.04,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.708737,62.15,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.154452,62.01,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.917332,58.73,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.096288,62.01,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.375858,62.1,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.028715,61.99,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.165041,64.0,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.942434,64.0,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.058465,65.89,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.410438,69.04,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.709758,50.02,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.764066,69.04,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.912025,71.09,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.060688,69.03,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.220982,65.98,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.733976,66.03,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.889191,69.05,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.96749,65.99,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.139327,64.0,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.421504,66.03,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.58257,64.02,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.920778,62.02,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.091232,63.96,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.298692,65.9,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.559576,74.02,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.885676,65.98,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.233998,64.32,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.670302,61.96,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.853817,64.16,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.318828,64.02,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.621436,61.98,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.065722,64.01,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.161436,65.97,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.529463,69.02,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.690529,64.06,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.993839,61.99,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.169372,63.98,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.456855,62.02,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.636016,64.11,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.070778,64.13,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.228896,62.0,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.348896,59.05,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.571232,62.0,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.832116,64.07,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.010529,61.99,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.288556,61.96,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.457558,69.18,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.748669,62.04,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.92783,62.06,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.694815,61.97,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.868125,69.13,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.157785,62.02,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.329667,62.12,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.783976,62.09,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.242638,62.03,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.509826,62.16,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.723681,62.09,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.005381,62.03,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
