time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.028684,51.03,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.455917,57.94,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.456961,62.89,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.730339,66.96,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.751382,63.04,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.760407,58.14,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.155078,58.22,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.328775,62.82,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.347414,66.77,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.74975,46.13,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.777233,53.01,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.452131,65.07,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.457754,62.02,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.477936,58.11,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.612267,46.11,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.894693,52.97,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.095555,59.05,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.50399,48.05,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.923514,63.03,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.926983,59.99,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.208843,63.09,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.219546,60.03,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.628389,60.1,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.077573,59.02,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.230067,43.05,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.258366,50.05,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.269251,55.16,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.959069,62.06,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.992516,58.01,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.995509,55.13,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.40365,55.13,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.561768,54.8,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.808843,63.06,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.814103,60.02,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.843174,56.09,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.866507,51.05,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.012902,56.06,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.021722,51.05,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.431178,59.79,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.699704,63.07,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.706008,60.01,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.73204,56.11,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.857346,44.03,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.885078,56.08,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.886462,51.03,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.126688,56.11,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.157868,51.03,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.31814,50.89,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.326348,60.01,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.331972,55.96,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.771224,51.01,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.783287,58.13,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.195759,51.14,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.469387,67.07,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.474239,63.02,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.493423,58.12,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.92467,51.02,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.055215,50.99,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.065419,57.66,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.097119,66.96,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.507346,44.0,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.519682,51.06,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.519772,56.15,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.237233,59.96,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.241745,56.12,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.38043,43.94,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.68111,56.41,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.686552,51.04,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.822879,50.69,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.832698,60.01,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.25272,46.04,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.70399,46.05,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.727323,61.74,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.982811,65.06,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.998775,62.04,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.012448,53.02,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.012856,58.13,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.027233,46.02,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.149069,45.24,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.410112,58.14,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.412924,53.02,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.572471,53.05,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.584194,57.96,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.593877,62.04,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.605487,65.09,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.021609,58.12,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.035078,51.03,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.725124,67.07,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.748344,63.02,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.765124,58.14,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.773423,51.02,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.17721,50.99,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.34687,62.91,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.378979,67.01,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.755101,46.11,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.789205,52.99,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.207822,61.83,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.228639,64.81,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.471632,65.1,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.483922,62.04,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.500702,58.17,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.516666,53.08,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.655532,46.13,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.929886,52.99,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.497618,55.11,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.514534,48.03,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.967323,62.84,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
