time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.695959,58.4,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.067932,58.2,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.409224,61.08,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.591288,63.09,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.934893,63.02,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.293737,61.03,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.458385,63.73,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.669406,61.05,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.812286,63.04,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.968204,61.0,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.192943,58.13,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.363578,61.05,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.519519,61.12,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.83707,58.14,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.065755,58.36,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.608227,58.19,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.686526,56.17,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.311401,56.15,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.476753,58.13,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.687161,60.98,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.856912,58.15,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.98673,56.13,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.178952,56.11,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.363918,58.27,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.707773,58.19,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.878952,56.2,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.07537,61.08,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
