time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.004492,48.19,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.006782,60.08,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.195263,48.15,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.210319,60.08,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.831181,48.21,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.83524,60.09,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.038641,48.23,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.052859,60.09,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.141317,60.11,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.152473,48.17,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.229322,48.2,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.430251,48.26,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.635693,43.18,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.641612,55.2,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.839526,43.13,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.854877,55.16,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.446442,43.18,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.457417,55.15,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.664061,43.22,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.67939,55.18,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.766396,55.16,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.777916,43.21,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
