time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.008473,60.12,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.850741,58.12,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.234641,58.2,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.210106,58.13,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.381285,60.09,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.921444,58.16,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.01861,60.06,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.642419,58.14,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.801195,39.95,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.025616,58.26,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.051535,58.15,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.216183,60.11,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.00768,58.15,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.210061,60.08,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.475027,63.01,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.715299,60.09,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.940764,63.03,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.194505,65.06,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.941603,64.98,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.155004,62.04,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.387884,63.0,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.618723,63.02,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.883984,62.02,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.065752,60.12,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.321829,62.08,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.539018,60.15,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.781603,58.1,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.012873,60.44,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.251693,60.6,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
