time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.008482,54.0,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.009661,61.03,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.009933,58.12,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.010681,66.15,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.440931,53.7,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.449638,57.84,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.60567,66.11,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.623402,61.06,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.649117,58.07,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.656237,54.0,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.237892,54.0,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.243402,58.11,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.257325,61.07,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.261271,66.14,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.636373,53.55,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.8383,61.06,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.855715,58.09,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.864581,54.05,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.063901,61.1,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.064604,58.08,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.067371,53.41,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.085262,66.14,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.256826,61.07,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.268867,58.11,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.460432,53.96,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.460953,61.06,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.470069,58.09,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.470953,66.1,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.696373,58.11,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.868686,54.02,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.873357,58.07,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.888459,61.06,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.083266,66.06,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.084559,61.05,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.107779,58.02,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.30508,54.07,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.309298,61.07,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.312767,58.1,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.320454,66.13,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.867711,66.12,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.874695,61.07,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.892835,58.09,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.497166,58.12,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.508051,54.03,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.508799,61.08,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.515466,66.13,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.907575,58.11,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.917393,53.72,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.928323,66.08,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.103107,66.1,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.11152,61.07,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.129094,58.07,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.153198,53.97,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.51635,61.08,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.533198,54.07,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.535398,58.07,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.729207,58.1,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.737643,61.06,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.741361,54.1,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.749978,66.07,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.932427,61.06,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.940727,58.1,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.956781,54.12,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.145715,50.06,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.37059,50.09,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.549978,51.18,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.562586,47.28,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.144241,59.1,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.169094,51.28,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.180296,47.11,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.753992,51.15,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.755851,47.23,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.760931,54.08,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.767643,59.09,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.377053,59.06,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.379797,54.05,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.405919,51.07,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.434559,47.1,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.753425,58.78,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.757212,54.05,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.776259,51.22,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.795693,47.16,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.994876,51.15,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.995171,47.25,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.001407,59.07,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.003742,54.06,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.180545,59.05,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.187076,54.05,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.206668,51.07,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.222314,47.09,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.426894,50.08,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.604581,50.12,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.802858,58.15,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.805466,54.15,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.817552,61.09,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.828867,65.05,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.217189,58.11,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.393107,61.14,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.442314,66.07,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.447869,58.1,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.76821,66.05,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.799253,58.1,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.803039,61.07,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.019049,54.1,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.020681,58.13,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.033606,61.08,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.047371,66.12,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.427302,58.11,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.432246,61.02,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.614513,66.09,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.61991,61.09,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.637779,58.09,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.65533,54.27,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.836917,58.11,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.845942,61.03,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.02084,58.1,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.026532,61.08,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.048005,54.12,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.243402,54.11,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.250386,58.12,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.262427,61.1,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.277847,66.13,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.435375,58.07,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
