time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.004152,49.07,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.391159,56.07,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.392497,61.07,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.392678,49.03,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.575989,61.06,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.586987,56.16,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.124878,45.1,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.446488,54.1,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.450048,58.07,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.806647,58.13,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.80744,54.1,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.003585,64.09,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.013971,58.12,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.56218,50.01,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.568279,55.09,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.894742,47.11,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.896465,54.15,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.910502,59.19,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.269889,54.08,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.277531,47.01,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.428438,59.07,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.459708,63.08,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.974424,54.11,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.974855,47.1,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.97871,59.13,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.513994,59.01,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.526261,52.0,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.868483,68.08,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.881386,64.1,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.885898,51.99,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.891703,59.01,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.066488,52.03,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.075195,59.04,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.076171,64.13,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.083903,68.09,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.28422,64.1,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.294969,59.01,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.792724,52.99,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.794787,46.07,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.146624,45.96,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.148801,52.97,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.320706,53.03,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.336034,45.99,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.721499,53.02,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.741023,45.98,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.89549,45.93,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.917146,53.08,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.460139,51.03,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.460456,58.07,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.808688,58.06,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.831545,51.01,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.991114,51.03,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.998007,58.07,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.99803,63.09,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.169912,63.05,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.193835,58.07,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
