time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.009795,56.1,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.01077,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.041564,39.92,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.056643,47.22,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.40594,39.94,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.422902,56.07,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.627641,56.1,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.975419,59.11,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.998684,47.21,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.008502,52.09,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.204489,59.08,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.592357,47.12,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.598616,54.13,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.599183,59.12,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.972584,47.0,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.148026,63.06,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.183809,59.08,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.550815,54.1,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.580362,47.06,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.760974,63.25,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.76272,59.11,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.768117,54.15,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.135555,49.11,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.526416,49.06,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.53628,64.05,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.537732,56.17,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.711995,64.07,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.731586,56.22,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.10653,64.1,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.11238,61.11,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.322811,56.19,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.342289,64.08,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.724421,44.0,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.741337,51.15,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.089432,51.26,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.090362,43.97,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.108571,63.06,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.249251,63.11,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
