time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.62735,45.08,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.942248,45.1,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.942724,57.09,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.946488,52.04,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.854402,58.2,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.871545,45.1,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.877214,63.98,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.877372,52.07,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.464561,50.03,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.776896,51.95,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.098642,51.98,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.385989,52.01,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.388756,59.07,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.851409,42.07,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.854878,49.13,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.874969,54.07,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.784311,41.95,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.795059,49.08,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.356647,49.06,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.37032,56.13,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.383268,61.05,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.68193,48.98,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.278121,49.06,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.28159,56.13,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.300207,61.08,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.828007,50.11,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.184424,50.02,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.442633,50.09,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.759889,50.07,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.774175,54.07,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.958529,45.16,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.306737,45.12,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.566783,45.16,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.887259,45.11,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.185921,45.09,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.200864,52.1,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.684787,50.08,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.642883,50.05,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.654334,57.16,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.201182,52.01,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.208143,59.06,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.589141,45.17,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.934311,45.1,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.936941,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.558529,45.2,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.460479,45.14,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.466148,52.07,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
