time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.006598,51.12,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.300951,53.1,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.57594,55.09,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.893831,58.01,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.194534,55.14,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.486711,58.01,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.777595,60.04,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.097663,58.0,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.361881,55.1,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.740362,63.03,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.459523,63.01,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.809523,65.02,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.113514,61.99,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.386507,63.03,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.637437,61.99,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.69399,58.06,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.99238,59.95,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.252607,55.11,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.964988,53.09,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.147777,53.12,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.602221,51.07,3,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.045078,51.17,3,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.431065,53.09,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.695305,55.05,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.973763,58.02,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.390339,55.09,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.612607,57.99,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.829047,60.02,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.119931,58.0,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.381927,55.07,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.653673,53.11,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.068276,55.17,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.807527,50.06,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.949659,51.11,3,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.234444,50.03,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.403446,51.12,3,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.623922,52.74,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.845441,55.12,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.096167,53.12,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.522108,53.13,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.686031,55.11,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.884852,53.05,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.12975,55.11,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.395305,58.01,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.555577,59.99,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.850362,58.01,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.299296,57.99,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.447981,59.99,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.897505,62.03,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.345305,58.06,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.619886,59.54,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.965351,55.02,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.824307,58.02,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.975895,60.05,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.413718,62.02,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.846031,58.07,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.102561,60.1,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.232357,57.99,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.506983,63.03,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.005101,63.01,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.180634,63.05,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.295215,65.02,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.46848,59.03,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.656348,62.08,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.788344,63.06,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.913809,61.99,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.083605,58.06,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.468276,60.04,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.7834,53.12,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.172992,55.12,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.37628,53.15,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.772085,55.11,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.074081,53.12,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.488344,58.02,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.921722,53.11,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.098707,55.13,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.105895,55.08,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.375396,58.19,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.76755,55.14,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.951654,58.02,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.231972,60.22,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.659296,58.03,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.835985,55.11,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.101677,63.01,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.524648,62.01,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.966258,63.03,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.414466,65.04,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.874988,65.04,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
