time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.03852,46.04,4,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.05505,53.08,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.295345,53.03,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.298565,46.04,4,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.58183,46.0,4,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.808134,53.12,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.812511,46.1,4,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.826615,58.11,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.829517,62.04,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.160447,53.09,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.570946,53.16,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.572624,47.22,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.600198,61.38,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.602375,58.11,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.713667,52.54,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.923191,56.88,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.066796,60.06,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.069495,52.89,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.346932,52.96,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.350379,60.06,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.875731,53.05,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.877635,60.08,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.883712,65.07,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.40886,53.07,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.417567,60.05,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.650424,53.13,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.666003,65.05,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.102624,43.26,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.107,55.17,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.122941,50.15,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.390969,43.19,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.396048,50.18,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.396842,55.14,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.881309,50.14,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.887114,43.19,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.910538,55.08,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.420969,43.14,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.425322,50.12,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.663599,43.25,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.675504,55.12,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.678837,50.15,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.957726,43.89,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.073599,50.08,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.183826,50.08,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.184733,57.13,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.455322,50.07,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.459585,57.11,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.711536,57.11,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.716796,50.08,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.210765,50.02,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.218474,57.11,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.47081,50.01,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.474415,57.08,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.734302,57.1,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.738815,50.07,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.849608,57.11,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.865731,49.99,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.212057,58.08,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.214642,51.01,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.487,51.03,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.489359,58.11,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.761558,50.96,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.765889,58.09,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.995504,58.11,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.996207,63.1,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.004914,67.02,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.279449,58.17,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.521354,51.04,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.523803,58.07,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.543849,63.12,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.782511,58.03,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.783576,51.08,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.789381,63.06,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.80149,66.81,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.297839,46.05,4,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.796502,53.11,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.807771,58.05,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.813576,61.87,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.329812,53.17,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.330742,46.17,4,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.337273,58.06,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.353962,62.01,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.586887,53.18,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.816728,62.03,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.82979,46.13,4,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.847205,58.06,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.849948,53.16,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.326955,58.07,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.32954,51.05,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.591037,50.96,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.597091,58.04,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.836796,58.04,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.087885,51.04,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.09081,58.09,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.109654,63.04,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.368248,58.07,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.613758,51.06,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.620152,58.05,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.621014,63.02,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.873803,51.1,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.875595,58.07,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.903554,63.03,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.364869,52.93,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.375209,60.06,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.385186,65.03,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.657545,60.04,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.659722,53.0,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.914982,60.03,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.916864,52.94,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.919041,65.05,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.160787,60.01,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.161672,52.9,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.166025,65.07,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.430674,60.06,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.432579,52.92,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.435481,65.09,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.444189,68.8,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.567477,69.01,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.571105,65.05,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.58081,60.1,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.818656,53.07,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.931785,52.89,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.933236,60.07,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.940334,68.98,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.941785,65.12,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.058542,68.58,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.061445,65.06,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.07539,60.06,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.338724,40.24,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.436456,46.12,4,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.437341,40.28,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
