time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.005059,60.01,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.224786,57.1,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.658301,55.12,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.074922,57.13,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.477439,52.13,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.118959,53.15,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.311,55.1,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.262541,52.16,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.480161,53.15,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.859798,54.16,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.287394,53.12,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.693766,48.18,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.710433,50.18,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.131498,52.16,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.511204,52.34,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.658437,50.16,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.934151,52.03,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.145263,55.07,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.750591,50.12,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.931929,52.14,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.164197,52.11,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.36329,55.08,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.946532,55.08,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.352791,60.03,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.748777,59.0,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.354832,60.03,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.772179,62.0,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.167326,64.01,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.609684,62.01,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.998301,59.99,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.378006,67.07,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.798369,64.37,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.172156,64.04,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.390433,62.02,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.607009,60.01,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.951816,59.97,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.206646,67.14,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.429276,64.33,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.836873,64.02,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.041249,62.01,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.252768,60.02,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.643675,62.0,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.068278,59.0,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.478981,60.0,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.875693,59.0,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.259027,55.13,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.677099,52.1,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.061045,52.14,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.485852,53.23,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.704922,52.13,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.910455,53.18,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.106306,55.12,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
