time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
1.514941,56.13,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.8246,58.12,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.118682,61.01,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.440337,62.19,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.729408,63.01,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.047548,64.94,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.331902,61.07,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.923671,61.03,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.22138,58.13,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.531789,56.13,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.843353,63.06,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.127843,61.03,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.19875,61.03,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.29519,62.99,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.618886,66.02,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.934737,65.07,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.240859,65.06,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.521063,66.09,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.132424,68.15,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.764283,68.09,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.030972,66.07,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.321698,65.01,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.636188,65.02,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.225054,61.01,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.818478,58.08,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.442628,61.03,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.052628,63.02,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.346709,60.99,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.907299,56.13,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.474941,54.79,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.888569,53.18,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.1668,54.1,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.46909,54.13,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.039294,53.17,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.640405,53.19,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.919884,54.2,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.223036,53.07,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.514487,49.13,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.340337,49.17,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.633966,51.19,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.635122,51.14,3,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.925122,53.12,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.226913,56.19,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.839294,53.12,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.421993,56.2,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.722945,58.03,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.03002,56.21,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.342038,61.02,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.539204,61.01,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.847503,61.01,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.146301,62.97,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.4546,61.03,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.735462,58.08,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.048478,61.01,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.322424,58.07,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.513693,58.06,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.442628,56.16,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.695258,53.15,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.312424,51.03,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
