time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.007269,61.17,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.033618,49.12,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.570466,41.07,5,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.584457,49.17,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.849786,49.13,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.851917,56.2,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.855976,61.14,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.437496,49.1,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.449355,56.15,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.449537,61.14,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.689378,49.11,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.691759,56.23,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.708856,61.15,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.270602,42.11,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.513346,42.04,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.556067,49.18,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.797859,42.0,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.803505,49.12,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.091759,49.21,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.097405,42.01,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.956271,42.0,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.973097,51.14,3,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.978584,49.18,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.185591,46.2,4,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.207292,41.38,5,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.518652,54.2,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.524865,47.24,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.544888,59.14,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.801577,47.24,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.064185,47.12,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.335024,47.19,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.335772,54.17,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.353278,59.13,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.901419,47.16,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.154253,47.2,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.157269,54.13,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.168992,59.13,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.742847,52.09,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.754616,59.14,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.755115,64.13,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.018856,52.24,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.312099,52.16,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.31448,59.15,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.32643,64.12,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.585115,52.13,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.59092,59.15,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.601804,64.1,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.867405,59.15,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.867654,52.2,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.15482,52.15,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.160376,64.12,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.163573,59.16,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.434321,52.11,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.439128,64.1,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.440852,59.15,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.705727,46.23,4,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.71618,41.07,5,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.97448,46.21,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.259378,46.13,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.544956,46.14,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.564616,49.11,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.824094,46.16,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.828357,49.15,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.386044,46.13,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.389106,49.15,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.668448,46.25,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.674049,49.19,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.694298,56.14,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.994593,56.14,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.058743,51.39,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.085954,56.37,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.223391,51.1,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
