time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.637685,53.1,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.641948,58.13,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.663785,64.1,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.665146,67.08,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.097096,67.1,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.113762,64.1,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.539976,52.44,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.849499,52.99,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.860293,58.07,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.872629,64.05,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.881404,67.07,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.469907,58.15,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.46993,53.01,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.494579,62.06,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.502402,69.14,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.607685,62.13,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.648887,69.13,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.793785,57.55,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.809159,68.91,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.810066,61.66,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.122152,61.55,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.127935,69.03,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.435282,69.08,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.587572,69.12,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.602288,62.05,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.605622,58.03,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.906483,62.07,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.024443,53.07,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.052787,58.14,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.062402,62.06,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.354987,53.08,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.35578,58.13,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.383989,62.06,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.563173,53.07,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.571971,58.14,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.581381,64.11,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.590724,67.1,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.069794,67.11,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.426574,53.04,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.446869,58.14,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.45857,62.07,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.469726,69.1,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.603898,69.11,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.61959,62.09,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.623127,58.14,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.747844,58.14,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.749409,62.06,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.752583,69.07,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.039023,53.06,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
