time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.532452,58.05,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.544561,63.08,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.548121,66.98,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.560547,72.04,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.928007,72.05,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.941137,67.09,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.291567,58.06,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.307849,67.01,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.307962,63.08,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.543744,62.95,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.548778,67.01,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.559776,71.7,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.983359,57.07,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.00701,63.13,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.026715,67.0,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.283427,63.08,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.286216,57.06,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.299549,66.99,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.539753,57.07,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.548438,63.08,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.555876,67.0,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.562112,72.0,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.735263,66.99,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.857826,72.04,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.87159,67.21,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.052316,62.08,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.059028,65.01,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.067508,70.07,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.474175,70.1,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
