time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
1.900964,64.03,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.181599,68.06,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.399853,65.03,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.656157,60.09,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.998787,56.24,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.742415,54.09,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.004252,55.37,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.274842,57.15,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.517427,61.08,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.153141,61.02,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.6094,60.99,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.158833,61.04,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.43661,63.07,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.695817,65.07,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.998606,60.03,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.370488,56.08,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.595885,56.06,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.910941,52.99,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.048515,56.1,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.283322,58.05,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.591917,60.01,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.845386,62.77,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.395386,57.04,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.658719,58.06,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.91101,53.87,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.060443,58.04,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.317472,57.98,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.447291,58.06,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.987948,61.04,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.252461,65.06,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.506656,68.03,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
