time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.491368,64.03,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.49427,69.08,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.504905,54.07,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.506379,60.12,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.276561,69.07,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.27774,64.05,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.277808,60.01,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.722751,53.73,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.873068,69.06,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.876538,63.95,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.878692,59.5,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.595041,71.11,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.601549,55.09,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.610211,64.03,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.61164,60.12,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.098443,55.0,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.104202,69.06,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.104928,64.05,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.107105,60.08,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.516719,55.09,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.527513,66.04,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.530393,69.07,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.531867,60.04,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.658533,69.08,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.659282,55.19,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.672275,64.06,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.680393,60.13,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.432819,55.08,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.436402,60.11,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.437853,64.03,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.440007,69.06,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.471504,64.08,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.474384,60.11,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.927989,55.03,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.930892,66.03,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.931595,60.06,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.409758,64.11,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.410415,59.12,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.415495,53.12,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.050824,55.08,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.210438,65.03,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.212706,60.11,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.970053,57.1,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.971504,66.83,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.973885,62.09,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.434474,55.08,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.435926,65.04,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.439531,59.95,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.9352,69.06,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.937377,54.09,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.946742,64.05,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.274837,54.01,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.283545,63.99,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.329463,48.16,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.361164,52.0,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.386424,57.15,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.401549,62.11,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.41588,66.1,0,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.146969,47.79,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.157082,62.08,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.15935,66.09,0,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.122003,66.08,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.125291,61.11,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.127966,55.1,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.709939,57.07,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.715722,67.09,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.716946,62.1,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.938579,55.08,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.945041,60.11,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.947944,65.0,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.59003,64.08,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.599282,59.12,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.60876,53.08,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.302275,54.07,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.31164,64.02,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.313091,60.0,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.313817,69.06,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.913114,54.09,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.932093,50.12,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.397059,50.1,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.686878,60.1,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.700574,64.05,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.712842,69.03,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.279871,60.12,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.308737,64.05,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.326062,69.06,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.521481,54.06,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.522207,69.09,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.530869,64.03,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.531572,60.09,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
