time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.445479,45.1,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.476908,52.05,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.590695,56.66,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.68591,45.12,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.952713,45.07,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.189062,45.09,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.205479,57.09,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.205615,52.09,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.437475,45.06,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.65845,45.07,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.840445,45.11,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.874935,55.16,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.885751,56.56,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.072872,54.09,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.073552,45.06,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.31201,45.09,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.344776,57.06,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.347044,54.12,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.543416,45.15,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.587157,52.15,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.600831,57.08,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.759674,57.06,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.788654,45.08,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.79099,51.94,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.954504,57.06,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.005253,45.09,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.064232,52.03,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.265888,45.12,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.270355,51.56,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.293257,56.6,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.457384,45.08,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.527566,50.05,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.699674,45.14,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.760287,52.02,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.93235,52.08,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.161579,52.1,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.17455,57.1,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.186636,60.62,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.415547,52.06,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.640808,52.07,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.871851,52.11,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.88396,57.09,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.886046,60.61,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.33303,56.77,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.556001,55.03,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.574708,56.51,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.69099,54.9,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.976296,54.02,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.227067,52.11,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.258994,57.09,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.267407,61.02,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.445162,52.07,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
