time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
1.206698,67.04,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.457424,68.0,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.754113,71.07,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.616585,73.99,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.958785,73.08,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.959941,73.05,1,14,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.225474,71.08,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.517356,67.07,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.63629,67.97,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.891596,64.14,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.45849,67.05,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.711823,68.05,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.046041,71.07,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.335338,73.06,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.59781,74.01,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.95332,73.08,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.538989,71.1,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.842345,73.02,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.110576,71.03,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.061823,67.05,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.320961,67.98,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.605882,71.07,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.926177,68.04,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.193456,67.01,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.439102,67.98,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.755224,71.07,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.059986,68.02,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.354476,67.41,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.287583,67.05,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.752277,64.06,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.067039,67.08,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.507311,65.72,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.981324,64.03,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.227991,62.11,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.489011,61.09,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.811483,60.12,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.067719,61.09,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.389034,61.11,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.6618,61.16,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.735769,66.03,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.996358,67.02,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.283524,67.98,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.589442,71.05,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.900349,70.84,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.198195,70.99,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.49976,68.08,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
