time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.807518,76.1,0,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.987405,74.76,0,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.96677,68.97,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.257677,70.06,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.697042,66.09,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.090512,65.32,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.799695,75.04,0,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.243482,73.02,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.628834,71.05,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.129899,66.99,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.456838,68.01,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.966339,71.06,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.264072,68.11,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.261736,67.99,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.554253,70.05,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.752484,68.0,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.113822,65.88,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.513074,65.94,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.961917,67.01,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.496566,70.06,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.778992,67.01,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.274911,63.07,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.637654,58.08,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.801169,61.11,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.16321,59.14,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.75906,56.09,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.006475,54.08,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.133391,56.09,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.448085,59.1,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.609831,61.11,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.887473,63.03,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.081146,66.05,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.32804,68.06,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.492462,66.03,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.712552,62.99,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.944797,60.76,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.105092,59.08,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.263187,55.06,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.411872,56.1,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.828448,49.11,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.07482,47.11,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.310217,44.05,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.309423,76.01,0,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.830557,71.0,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.0177,67.98,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.418743,70.88,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.592099,67.98,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.89389,68.93,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.159514,69.95,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.444865,73.05,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.732099,69.99,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.048561,66.06,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.149151,62.08,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.282598,62.7,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.450149,64.13,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.605614,66.01,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.752847,68.02,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.014366,70.09,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.289945,71.06,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.560693,75.03,0,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.01541,73.07,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.341078,71.0,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.705341,67.99,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.965296,64.09,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.651985,61.1,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.815183,64.03,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.307745,73.02,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.666838,70.06,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.863097,65.0,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.030648,66.01,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.185863,66.93,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.327156,70.09,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.47219,67.0,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.705387,63.09,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
30.001691,58.09,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
30.180874,61.08,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
30.473165,59.11,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
30.750512,56.09,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
31.016589,54.09,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
31.275614,51.01,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
31.420512,54.06,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
31.60838,56.11,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
31.886951,59.08,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
32.15745,61.1,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
32.397382,63.02,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
32.547518,66.02,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
32.793663,68.06,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
33.064208,66.09,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
33.180239,65.23,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
33.276679,63.04,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
33.496566,63.04,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
33.660126,61.13,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
33.781963,59.14,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
33.936679,56.08,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
34.080126,59.11,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
34.243958,55.1,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
34.358539,56.06,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
34.517382,54.06,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
34.712484,51.04,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
34.966203,47.08,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
35.258811,44.08,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
