time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.060718,46.15,4,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.49963,53.09,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.992759,53.1,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.237544,53.1,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.437204,67.06,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.931943,58.17,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.217294,58.17,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.227204,53.11,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.461217,52.81,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.913938,53.12,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.346274,53.09,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.597,57.17,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.851467,60.08,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.075526,65.07,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.306932,60.03,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.756274,53.11,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.027,57.17,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.228678,65.04,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.472963,55.14,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.476319,59.8,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.71895,55.08,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.169857,58.05,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.440038,62.04,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.671444,67.06,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.900696,62.05,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.169267,58.16,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.614823,55.1,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.88124,58.16,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.900514,62.06,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.910968,67.05,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.343485,50.06,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.610446,50.07,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.045004,57.16,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.29802,62.08,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.540469,65.05,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.754052,62.07,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.959199,50.06,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.008383,57.15,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.019562,62.06,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.45861,64.02,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.463553,62.1,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.738201,57.15,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.137136,45.11,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.402147,51.11,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.837249,51.1,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.865548,55.1,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.893825,58.14,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.148473,63.03,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.417612,58.15,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.666161,55.09,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.908746,55.09,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.92065,58.13,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.936637,63.02,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.369267,55.08,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.387113,58.14,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.620129,63.05,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.627068,58.12,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.960945,55.38,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.358043,46.16,4,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.802487,53.14,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.041308,62.12,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.263712,58.17,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.504709,46.14,4,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.77412,53.11,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.989131,62.13,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.2087,58.18,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.443734,53.13,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.887408,45.1,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.189199,51.14,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.623031,51.15,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.633984,55.08,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.860514,55.07,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.886501,58.14,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.907997,63.04,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.314392,63.02,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.549585,58.14,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.064346,51.16,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.323848,63.01,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.362646,55.08,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.378337,58.13,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.773938,50.16,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.065027,53.11,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
