time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.007684,63.03,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.043557,59.22,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.647231,54.1,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.799544,55.91,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.90061,59.17,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.159045,62.63,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.309158,63.0,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.449975,62.21,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.573988,60.2,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.729907,61.16,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.825621,60.9,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.943104,61.17,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.038818,61.15,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.125825,61.2,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.23968,59.13,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.363127,56.12,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.454487,54.06,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.739385,54.09,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.885893,56.04,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.998183,59.16,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.179453,56.27,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.542061,54.07,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.699521,51.2,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.77782,50.08,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.143761,47.0,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.23002,47.0,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.575666,47.26,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.710904,49.25,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.862492,49.31,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.963285,49.16,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.994578,47.24,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.102537,49.33,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.227276,50.13,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.319362,49.18,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.362582,47.15,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.489816,49.5,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.669702,49.17,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.747276,49.12,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.789702,47.0,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.890882,49.22,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.972083,50.05,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.05358,47.0,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.182015,54.08,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.4229,54.72,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.540383,56.44,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.884124,54.09,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.380882,66.28,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.642492,62.99,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.782446,65.07,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.902106,65.09,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.02612,62.99,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.164873,62.25,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.28163,61.38,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.564555,61.16,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.679136,60.79,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.824192,59.16,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.930065,60.1,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.118093,56.11,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.394737,50.04,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.64587,54.15,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.029181,56.08,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.705417,56.1,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.977004,59.11,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.239408,61.15,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.479566,59.15,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.649294,60.09,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.891811,55.98,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.241222,54.13,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.385553,56.07,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.469657,53.95,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.670723,56.29,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
