time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.006586,53.31,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.008083,58.13,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.010985,61.35,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.013842,69.08,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.167606,70.02,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.172708,63.02,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.17781,59.1,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.335815,54.05,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.474409,69.98,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.477289,62.79,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.391756,59.1,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.400463,63.06,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.408423,70.05,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.696405,70.01,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.856699,70.05,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.894001,63.08,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.126087,68.03,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.243026,63.05,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.245951,59.1,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.250101,68.06,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.694024,58.96,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.694885,67.92,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.698513,63.05,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.616178,59.11,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.623842,63.03,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.631779,68.04,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.053162,67.86,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.085089,62.84,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.45874,65.03,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.459466,61.11,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.90738,64.8,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.913207,60.83,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.288309,60.61,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.84577,58.13,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.852278,61.08,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.86747,65.04,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.123275,61.02,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.134114,65.02,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.26103,65.05,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.29518,61.06,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.660441,47.19,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.672005,58.17,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.679987,54.1,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.685044,63.08,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.108287,65.97,0,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.14094,62.92,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.061915,54.14,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.065543,58.1,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.072776,63.05,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.074182,66.03,0,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.339398,58.12,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.348105,63.05,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.519284,58.12,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.522414,66.04,0,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.525792,64.21,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.897584,52.98,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.900486,59.03,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.90552,63.07,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.914182,67.97,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.3284,67.85,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.348695,63.05,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.456745,62.5,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.72933,53.13,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.732912,59.06,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.745928,63.14,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.758967,67.99,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.286767,53.15,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.291801,59.03,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.301212,63.16,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.312799,67.99,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.731302,63.18,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.737878,68.02,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.753774,58.88,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.11298,45.26,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.134727,55.15,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.14484,61.13,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.234046,56.1,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.274659,62.1,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.285611,46.2,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.561234,64.67,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.568445,61.88,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.575679,55.93,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.954432,46.18,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.968899,56.06,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.970033,62.12,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.990305,65.03,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.494205,46.31,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.519579,62.12,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.520305,56.1,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.89035,46.21,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.968445,62.03,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.974273,64.81,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.246677,65.05,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.350123,60.12,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.350373,65.09,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.357334,69.03,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.463933,70.04,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.463978,61.11,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.472187,66.07,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.61942,66.08,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.622754,70.04,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.783343,66.09,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.801915,69.84,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.879058,65.39,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
