time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.00518,65.03,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.103049,66.19,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.661302,67.92,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.934477,65.96,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.204273,65.01,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.902776,65.02,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.169398,66.0,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.316609,68.05,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.887017,70.01,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.38772,68.09,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.655384,65.97,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.761257,68.03,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.888151,65.98,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.738423,65.98,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.834137,64.99,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.454727,64.98,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.049058,64.94,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.443729,65.97,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.581507,66.73,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.762844,65.05,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.861461,64.99,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.969761,63.09,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.087244,62.17,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.263751,70.99,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.679398,70.02,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.96196,68.01,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.234386,65.94,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.618219,64.94,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.908717,63.09,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.172051,62.08,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.444454,64.99,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.738581,62.13,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.885792,63.1,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.137561,58.07,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.416541,58.07,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.528219,58.07,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.67908,58.08,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.808899,58.07,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.105339,58.07,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.29103,58.06,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.397629,58.08,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.542663,58.01,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.835679,58.08,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.959693,58.06,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.060463,58.06,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.415225,58.09,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.510214,58.07,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.790395,57.51,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.079443,56.13,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.241915,57.06,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.537788,56.1,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.657448,56.06,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.926654,56.07,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.092754,56.07,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.197153,56.07,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.350169,56.09,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.626314,56.07,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.898763,56.1,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.142527,58.07,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.280305,58.05,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.45221,58.07,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.566042,58.08,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.724885,58.07,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.832912,58.06,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.999738,58.09,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.12738,58.12,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.299284,56.08,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.424749,56.06,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.669148,56.08,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.788808,56.07,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.975951,56.07,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.131166,56.09,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.258083,56.1,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.423457,54.18,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.831892,54.16,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.870804,54.1,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.013683,54.11,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.137697,56.11,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.324817,54.16,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.770577,51.19,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.044727,51.16,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.077561,64.99,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.581915,66.1,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.655543,68.07,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.932323,66.0,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.217039,64.97,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.498128,63.12,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.744817,62.2,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.920894,57.72,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
30.036337,62.11,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
30.334092,57.81,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
30.451983,62.09,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
30.726586,58.05,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
30.991348,63.1,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
31.417856,64.93,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
31.703275,65.98,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
31.95255,68.03,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
32.223547,69.03,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
32.385996,69.99,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
32.528151,70.0,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
32.663774,69.98,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
32.790668,69.04,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
32.96255,69.99,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
33.069874,69.99,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
33.264976,70.03,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
33.39552,69.01,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
33.510804,69.99,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
33.613774,70.0,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
33.747924,69.99,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
33.853797,69.01,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
34.060532,70.0,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
34.190327,69.99,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
34.317969,70.01,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
34.492776,69.0,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
34.632731,69.98,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
34.731348,69.99,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
34.930826,70.03,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
35.050486,69.02,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
35.231098,70.04,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
