time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.00593,48.16,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.006656,55.07,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.006656,59.96,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.007381,64.06,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.116157,65.03,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.277585,49.09,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.423277,59.81,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.427359,64.88,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.811168,56.07,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.823232,65.03,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.827087,60.12,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.237223,59.96,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.247109,64.92,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.255137,55.61,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.635499,56.09,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.639082,60.13,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.655318,65.06,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.836678,40.16,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.891372,60.15,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.89398,56.13,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.914298,65.06,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.161418,44.26,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.173277,54.36,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.18847,59.62,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.198901,63.08,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.239694,44.15,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.37491,55.12,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.580193,60.15,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.588016,62.93,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.610941,54.84,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.847948,62.72,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.969263,44.21,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.971985,55.1,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.997336,60.13,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.41178,62.87,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.424842,60.02,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.700511,63.04,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.797812,55.13,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.812007,60.16,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.822325,63.09,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.892075,55.14,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.941985,62.99,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.975907,60.05,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.064683,50.08,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.306769,46.28,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
