time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.006297,66.03,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.481104,68.04,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.222328,64.11,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.517136,64.15,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.708723,62.11,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.887136,63.1,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.000469,64.15,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.289018,64.16,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.414483,62.23,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.458995,66.06,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.625367,62.11,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.890061,59.06,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.192215,57.08,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.323462,59.02,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.473576,62.1,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.77963,62.21,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.27641,59.06,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.886024,65.03,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.001331,66.0,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.309947,65.05,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.433938,64.21,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.526002,62.29,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.614437,64.18,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.801557,62.13,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.878972,59.1,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.192464,63.1,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.672873,64.11,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.823734,63.08,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.274732,61.12,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.380582,60.03,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.845367,67.95,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.983167,68.96,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.147816,71.05,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.267476,67.9,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.362442,67.93,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.457657,66.17,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.556274,64.09,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.755185,66.21,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.85378,63.14,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.07836,64.08,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.228473,66.17,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.386591,64.12,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.5026,63.12,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.684097,61.12,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.800106,59.06,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.007657,60.94,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.112056,59.03,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.426795,58.05,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
