time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.004351,47.16,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.202265,61.94,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.20299,56.6,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.207616,65.96,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.518478,47.19,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.626074,66.03,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.628251,57.09,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.6307,62.13,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.802605,61.85,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.975371,47.26,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.975938,62.13,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.977231,57.1,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.978229,66.03,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.301176,52.07,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.30739,62.13,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.309566,67.08,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.619408,43.68,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.814986,52.04,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.818093,62.14,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.821925,67.07,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.135213,52.09,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.135439,65.08,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.136891,62.09,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.489498,45.25,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.05934,45.31,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.061517,64.1,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.062968,61.14,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.063693,56.15,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.186981,56.18,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.216006,64.1,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.216732,45.15,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.260995,61.14,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.444487,45.4,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.457503,64.08,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.458297,61.11,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.45875,56.12,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.723285,61.24,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.725916,50.03,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.726188,57.12,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.727117,66.05,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.727843,45.19,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.316256,61.07,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.319158,57.11,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.320315,66.04,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.32612,50.03,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.692492,56.83,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.985485,56.2,4,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.313467,66.21,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.318047,71.04,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.319272,61.11,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.40553,65.2,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.413761,70.01,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.73197,70.96,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.733648,66.14,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.734873,56.1,4,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.740678,62.02,3,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.931244,62.04,3,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.044555,50.22,5,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.388387,49.23,5,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.607798,68.03,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.609249,65.16,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.6107,59.15,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.9768,49.1,5,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.073104,68.02,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.076006,65.14,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.077979,59.04,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.378614,43.47,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.586483,54.02,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.594374,69.01,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.595621,64.11,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.015757,43.54,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.209589,53.97,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.212242,69.01,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.212968,64.1,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.648569,43.63,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.848909,53.95,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.859544,64.04,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.859748,68.01,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.172537,68.02,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.175009,54.06,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.175938,57.08,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.178342,64.13,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.525417,54.03,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.625802,68.02,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.628705,64.13,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.629204,57.06,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.782968,57.1,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.946777,64.14,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.947616,57.04,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.948229,68.03,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.949453,54.06,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.309816,47.29,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.48621,66.05,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.488841,57.03,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.489113,62.12,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.790519,66.02,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.793943,47.17,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.794147,57.07,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.794351,62.13,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.110564,47.28,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.117049,62.13,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.118501,66.04,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.119022,57.09,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.446278,67.1,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
