time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.008563,69.44,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.495774,66.12,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.651058,64.11,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.980196,69.08,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.201874,69.08,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.557588,72.04,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.558291,72.18,1,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.068087,69.07,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.22777,65.56,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.476341,69.07,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.166727,66.1,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.340808,64.08,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.628246,69.09,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.871806,69.12,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.222259,65.94,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.45947,69.1,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.6126,72.01,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.693915,67.13,2,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.693915,67.23,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.917928,64.08,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.157611,62.15,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.833779,62.13,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.007429,60.14,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.294391,62.16,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.522033,60.12,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.945343,63.14,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.072259,64.21,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.707339,63.25,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.812486,62.38,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.834232,49.95,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.942282,60.67,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.051126,57.17,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.14557,62.13,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.278178,57.01,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.365275,60.16,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.576318,62.07,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.611443,57.19,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.615003,45.14,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.715865,55.06,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.819606,52.42,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.055615,56.83,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.149878,57.33,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
