time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.010045,43.23,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.446327,43.09,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.449592,50.23,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.45415,55.13,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.459229,58.07,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.466485,62.13,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.469569,67.1,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.10322,57.82,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.103946,67.09,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.104308,62.12,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.108866,55.15,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.478005,66.89,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.507732,64.21,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.519546,55.25,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.523741,48.07,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.930794,67.08,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.12254,43.11,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.128345,48.09,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.131973,55.21,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.138866,57.72,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.147392,64.18,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.153923,67.09,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.778345,67.09,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.780317,57.5,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.780317,64.21,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.794286,55.23,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.798299,48.09,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.804649,43.05,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.985261,43.07,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.988345,48.11,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.995941,55.2,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.000385,57.49,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.008821,64.25,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.01263,66.93,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.201905,55.11,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.220249,50.17,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.227732,45.23,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.234082,40.35,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.315941,53.13,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.40254,48.26,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.411043,41.29,5,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.820136,41.23,5,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.827392,48.21,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.829048,53.22,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.833401,57.12,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.841746,60.13,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.842086,64.76,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.257914,41.19,5,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.269524,53.19,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.278231,57.12,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.283311,60.12,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.470862,65.08,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.47771,60.12,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.481746,57.13,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.484286,53.22,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.485873,48.19,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.494399,41.15,5,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.842902,64.81,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.878299,62.21,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.887914,53.17,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.893356,46.04,4,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.899887,41.09,5,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
