time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.008701,65.19,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.026774,65.04,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.257273,65.09,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.363146,67.03,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.793644,64.98,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.800016,70.06,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.095912,63.14,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.608792,63.16,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.881672,62.2,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.870833,62.14,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.968724,62.15,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.079676,62.14,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.35242,63.11,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.882964,62.14,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.927839,62.14,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.046774,62.18,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.149744,62.18,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.399109,60.22,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.665753,58.19,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.965935,60.18,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.20818,58.17,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
