time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.009308,60.1,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.295272,60.14,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.535521,61.13,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.854274,63.16,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.163231,61.11,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.304659,60.13,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.583027,58.09,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.040306,56.08,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.252732,58.14,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.556043,60.15,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.195249,51.12,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.460238,51.1,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.829444,51.16,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.038356,51.16,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.244954,51.28,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.339943,53.05,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.664637,58.09,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.056746,56.07,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.69661,56.15,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.019716,56.16,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.16187,57.02,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.433208,58.09,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.978582,58.14,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.199444,56.15,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.347403,55.25,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.601598,53.23,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.828038,52.17,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
