time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.008141,64.12,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.311156,62.09,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.614354,64.12,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.935964,62.05,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.224059,64.12,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.463946,62.08,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.693265,66.96,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.143175,65.16,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.333946,64.11,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.788912,62.01,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.073356,64.08,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.381315,62.05,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.697279,64.11,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.012494,62.1,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.17941,66.95,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.607982,64.12,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.817166,60.09,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.624739,57.09,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.744399,60.11,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.920363,62.16,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.222404,60.07,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.89517,60.08,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.08229,62.13,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.320091,64.12,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.510862,65.13,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.68712,64.29,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.161361,62.09,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.430544,64.14,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.726599,62.08,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.037483,66.95,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.340522,65.18,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.490658,64.09,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.834875,65.09,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
