time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.64055,65.91,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.897738,63.93,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.178532,61.98,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.561162,61.06,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.457443,59.0,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.733225,60.98,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.976151,61.68,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.408917,64.05,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.821321,63.97,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.054314,62.0,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.258282,61.0,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.47869,59.0,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.157352,59.0,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.427126,60.99,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.700754,62.04,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.977624,60.99,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.15572,61.96,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.421366,63.95,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.651275,65.97,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.840504,66.92,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.109371,65.89,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.457942,64.97,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.856967,65.93,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.269915,69.82,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.672772,72.99,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.021049,75.98,0,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.629325,73.98,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.75767,72.97,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.935652,73.94,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.153135,72.97,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.352454,70.9,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.560414,65.95,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.756264,64.08,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.459098,61.96,3,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.948804,60.99,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.432114,63.96,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
