time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.010845,43.03,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.519167,62.09,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.521344,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.521344,58.97,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.778034,62.08,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.779984,58.97,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.786696,52.11,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.001367,43.05,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.26182,62.09,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.26309,58.97,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.266174,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.763272,62.09,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.767625,58.97,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.76851,52.11,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.99563,43.05,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.271594,62.09,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.274723,58.97,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.276673,52.11,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.745086,62.09,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.750324,58.97,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.754451,52.11,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.986832,43.07,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.505585,62.09,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.510845,58.85,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.51665,52.02,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.037807,47.11,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.525879,61.95,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
