time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.006297,57.1,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.006841,63.05,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.007022,47.18,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.008564,68.04,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.281421,47.16,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.307,57.07,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.312532,63.04,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.318428,68.04,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.598088,47.14,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.614233,57.06,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.620038,63.04,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.624097,68.01,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.887907,47.09,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.910741,57.07,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.916546,63.07,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.924891,68.05,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.195571,52.06,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.204823,56.05,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.206002,62.08,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.2148,65.98,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.511875,52.04,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.521739,56.06,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.52929,62.07,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.534641,65.98,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.811013,52.06,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.821988,56.05,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.828519,62.06,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.834687,65.97,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.086863,52.1,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.095662,56.04,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.107544,62.04,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.111444,65.99,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.381671,56.93,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.386387,63.03,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.394369,67.99,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.687997,47.2,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.708111,57.08,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.711943,63.06,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.718655,68.0,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.995684,47.13,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.016161,57.08,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.020514,63.04,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.025412,68.01,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.306523,47.13,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.324029,57.09,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.332374,63.04,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.336455,68.03,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.600333,47.13,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.608133,57.1,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.613576,63.05,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.62319,67.98,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.897136,47.19,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.919063,57.07,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.925775,63.05,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.929222,67.99,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.198995,47.12,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.221127,57.05,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.227476,63.06,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.231829,67.98,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.491172,47.18,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.50895,57.09,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.516024,63.06,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.520922,67.9,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.779993,52.06,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.789517,56.05,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.802034,62.07,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.80938,65.95,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.10319,52.09,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.11251,56.02,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.118496,62.07,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.12539,65.96,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.413848,52.09,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.421195,56.04,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.4309,62.06,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.437702,65.96,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.722079,52.09,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.726433,56.06,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.733507,62.05,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.742464,65.98,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.866591,51.95,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.955185,56.04,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.020129,62.06,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
