time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.007897,64.92,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.008736,70.03,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.010414,60.99,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.733747,68.18,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.808532,65.96,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.937602,67.97,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.185788,64.97,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.375788,63.01,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.545516,61.03,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.755244,60.03,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.939552,58.0,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.163747,56.02,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.010164,48.04,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.142137,49.09,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.256717,51.1,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.426105,53.09,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.613248,54.05,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.704609,56.1,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.869801,58.05,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.984382,61.06,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.147579,59.05,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.246899,60.03,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.212296,60.0,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.34284,61.0,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.471933,62.97,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.6203,65.0,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.746468,66.01,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.866128,65.04,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.119892,65.04,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.259847,65.96,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.366445,64.95,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.537534,64.04,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.676513,65.02,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.772953,65.95,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.875924,64.96,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.051774,65.04,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.203067,65.01,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.308214,65.94,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.413361,64.94,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.622636,63.97,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.741797,65.04,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.098826,65.02,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.358758,68.95,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.546559,72.02,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.718463,75.0,0,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.937262,73.01,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.596559,71.99,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.766196,69.96,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.006173,71.98,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.421434,70.09,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.999348,69.98,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.286037,68.01,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.545946,68.06,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.785606,66.01,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.98903,66.01,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.215765,63.97,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.501298,65.02,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.165266,63.05,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.376695,60.99,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.569643,60.0,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.364155,56.03,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.500504,58.05,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.659393,60.01,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.777602,61.0,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.928463,63.0,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.063293,64.97,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.205448,65.94,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.428486,67.95,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.651117,70.0,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.468577,73.0,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.638305,70.99,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.848758,71.97,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.027851,67.96,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.198282,65.94,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.399212,68.18,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.157624,65.97,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.326536,63.02,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.496899,65.91,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.672817,63.0,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.815697,61.02,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.032318,63.06,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.532931,60.03,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.555674,72.05,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.701434,61.0,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.711615,72.98,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.220232,60.07,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.238713,72.04,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.753588,63.02,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.772092,75.03,0,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.291411,57.1,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.315289,68.99,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.809688,60.03,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.828169,72.04,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.335629,60.05,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.353815,72.05,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.688373,72.95,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.697806,61.0,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
30.222092,59.03,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
30.241298,70.02,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
30.413271,71.98,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
30.47411,60.02,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
