time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.009043,56.13,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.009837,61.0,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.042172,46.09,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.063692,65.07,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.744621,56.17,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.753442,60.98,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.758567,65.1,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.087932,56.14,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.094054,60.98,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.101991,65.08,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.407796,46.09,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.422286,56.2,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.429565,60.99,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.435007,65.01,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.122286,56.16,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.128975,60.98,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.130517,65.11,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.857297,51.11,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.188816,51.04,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.530426,51.05,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.534871,55.1,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.540086,61.0,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.54444,63.15,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.549655,64.01,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.872286,51.01,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.874667,55.08,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.881923,60.98,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.88419,63.12,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.889837,63.99,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.577841,51.05,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.924599,51.06,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.93122,55.1,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.93419,61.02,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.937184,63.17,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.161265,45.01,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.644531,44.09,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.64605,51.11,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.368567,44.14,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.374553,51.05,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.376889,56.18,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.384213,60.0,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.387841,63.1,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.395891,68.05,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.101084,44.04,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.104213,51.04,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.418907,44.18,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.430744,51.19,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.778227,44.2,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.782671,51.15,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.784122,56.23,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.787819,60.02,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.791537,63.13,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.795891,68.07,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.496571,49.03,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.504848,56.16,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.51224,60.96,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.530381,65.05,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.213578,49.03,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.220925,56.13,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.225347,60.96,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.22834,65.09,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.53859,48.97,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.540766,56.1,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.549224,60.94,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.553737,65.06,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.196957,49.06,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.214644,56.14,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
