time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.048512,40.03,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.367991,47.09,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.634181,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.875383,55.99,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.200757,52.1,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.47019,47.1,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.801075,40.05,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.129351,47.07,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.404408,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.647492,55.99,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.962118,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.207333,47.09,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.553297,40.04,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.85434,47.06,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.144499,52.11,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.415814,55.99,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.73307,52.13,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.995973,47.1,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.297401,40.07,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.587741,47.06,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.880508,52.11,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.115224,55.99,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.426472,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.711392,47.09,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.048512,40.08,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.368649,47.04,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.629397,52.11,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.935791,55.99,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.244476,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.539714,47.09,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.851052,40.05,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.159873,47.06,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.430485,52.13,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.720621,55.98,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.007741,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.286766,47.1,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.599941,40.05,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.886018,47.06,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.153728,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.479011,55.99,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.763932,52.11,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.041891,47.09,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.372345,40.05,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.676426,47.07,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.942231,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.220485,55.99,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.523841,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.789329,47.1,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.115746,45.03,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.402821,52.16,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.712844,57.02,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.012571,61.14,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.373887,57.02,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.639692,52.17,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.964045,45.03,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.195519,52.15,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.47756,57.0,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.791211,61.13,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.081211,57.01,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.363955,52.18,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.68527,45.03,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.930825,52.15,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.212118,57.0,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.566608,61.15,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.85332,57.01,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.136653,52.16,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.440553,45.03,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.688853,52.17,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.966517,56.98,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.252322,60.19,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.591914,56.98,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.893388,52.14,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.221347,40.08,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.491098,47.08,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.801415,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.084612,55.99,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.39561,52.13,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.667651,47.1,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.95883,40.06,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.254794,47.07,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.557696,52.13,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.837016,55.98,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.147447,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.433093,47.09,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.748444,40.09,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.023116,47.03,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.307764,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.614023,55.98,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
25.966902,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.241143,47.1,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.498399,40.09,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
26.789283,47.06,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.063615,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.313456,55.93,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.608558,45.04,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
27.912095,46.05,4,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.193546,47.04,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.516154,51.13,3,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
28.83019,56.99,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.12137,59.12,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.455156,56.99,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
29.744045,51.13,3,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
30.050689,47.06,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
30.370984,51.13,3,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
30.622435,56.99,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
30.897832,59.12,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
31.210621,56.99,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
31.490032,51.12,3,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
31.802617,45.02,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
32.093592,52.18,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
32.387855,56.98,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
32.6618,61.15,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
32.966902,56.98,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
33.249941,52.19,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
33.539669,45.03,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
33.817968,52.17,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
34.114748,56.98,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
34.378376,61.14,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
34.68493,56.98,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
34.984522,52.16,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
35.294499,40.05,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
35.618898,47.06,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
35.891937,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
36.179465,55.99,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
36.484567,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
36.786426,47.08,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
37.102844,40.08,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
37.385633,47.05,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
37.664771,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
37.96629,55.99,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
38.272435,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
38.542617,47.08,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
38.852503,40.09,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
39.135247,47.05,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
39.442231,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
39.718649,55.99,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
40.012526,52.12,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
40.306585,47.08,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
40.593705,40.08,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
40.907696,47.05,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
41.170576,52.11,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
41.456653,55.97,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
41.993025,59.08,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
