time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.009671,46.04,4,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.223594,53.19,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.413276,57.99,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.68661,61.18,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.953775,58.01,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.160668,53.21,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.434093,46.05,4,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.655702,53.27,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.861666,58.01,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.077312,61.18,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.306882,58.01,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.49153,53.19,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.754093,51.15,3,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.001666,58.02,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.200827,63.18,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.446473,67.08,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.670283,63.17,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.887063,58.02,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.116655,51.15,3,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.339467,58.01,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.543934,63.18,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.778333,67.08,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.217947,55.99,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.465884,44.18,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.693911,51.14,3,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.908265,56.0,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.146065,63.15,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.30348,60.16,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.408401,55.99,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.610079,51.16,3,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.816111,44.18,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.089444,51.15,3,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.289671,55.99,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.51899,60.13,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.767086,55.98,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.962233,51.16,3,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.199353,60.53,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.206541,49.07,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.442415,53.19,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.656904,56.0,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.881167,61.18,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.12924,56.0,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.333684,53.19,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.553979,49.05,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.790442,53.17,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.006383,55.97,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.244773,61.17,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.504455,41.09,5,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.704659,42.15,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.925,43.32,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.197449,53.19,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.367857,56.0,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.390396,53.34,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.598492,61.22,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.860147,58.0,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.064569,53.21,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.281349,43.27,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.521235,53.2,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.748492,58.01,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.978446,61.2,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.209489,58.0,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.321485,60.17,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.420464,51.15,3,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.653458,48.13,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.909013,52.17,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.115045,58.02,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.340737,60.17,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.575181,58.02,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.790374,52.16,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.999308,48.1,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.247743,52.15,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.457403,58.02,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.695181,60.15,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.91051,58.01,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.131644,52.14,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.419829,41.08,5,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.649784,48.06,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.836473,53.17,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.063049,56.0,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.301077,53.25,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.541644,48.04,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.755793,41.16,5,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.016337,48.02,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.21797,53.17,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.455793,56.0,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.676814,53.23,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.919671,48.07,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.135022,41.11,5,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.362165,48.05,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.544773,53.16,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.789693,56.0,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.011303,53.21,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.267108,48.11,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.48729,41.16,5,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.7067,48.12,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.909693,53.18,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.126972,57.02,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
