time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.007575,53.16,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.051452,61.07,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.054332,58.04,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.055216,65.04,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.055624,41.97,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.241316,65.06,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.244219,61.13,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.246804,58.07,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.255103,53.16,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.648051,61.11,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.651248,53.16,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.651407,65.03,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.652405,58.01,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.660386,41.95,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.043062,61.11,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.044513,57.75,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.045058,53.2,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.045239,65.04,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.057733,41.94,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.446622,65.03,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.452563,61.1,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.455307,42.0,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.455897,58.03,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.461135,53.15,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.857439,58.36,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.858005,53.09,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.85889,61.09,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.103357,41.98,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.286985,53.13,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.491543,57.91,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.869049,42.02,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.069071,53.19,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.303765,65.04,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.307053,61.13,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.308822,58.04,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.330454,41.96,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.451225,61.16,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.494922,58.06,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.515806,52.98,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.885103,53.16,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.895579,65.03,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.897302,61.11,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.902518,58.06,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.90601,41.99,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.318436,65.05,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
