time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.008298,63.1,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.009024,68.14,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.010475,59.11,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.011927,52.02,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.187414,63.25,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.213378,68.1,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.22755,59.1,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.613967,68.17,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.616326,63.54,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.617777,59.13,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.622629,51.9,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.017051,63.1,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.017165,68.12,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.019341,51.61,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.021564,58.86,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.394602,68.14,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.401518,57.09,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.401722,63.09,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.796824,68.12,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.799727,57.13,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.810543,63.11,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.777663,47.13,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.167822,47.6,5,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.170611,64.11,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.172244,67.88,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.172743,59.11,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.357051,64.18,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.357777,68.14,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.357981,59.15,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.368548,48.85,5,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.730294,68.16,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.731586,64.11,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.738117,49.07,5,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.740407,59.14,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.136212,48.38,5,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.136212,64.08,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.137663,59.14,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.137663,67.99,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.485849,68.05,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.492902,59.1,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.492902,64.09,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.502924,48.33,5,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.922516,56.08,4,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.090475,63.15,3,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.298344,66.06,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.499047,75.03,0,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.507029,71.14,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.521337,56.16,4,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.859478,66.05,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.865895,71.13,1,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.256961,45.11,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.879228,69.08,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.879908,61.12,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.879908,64.04,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.247505,63.98,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.25238,57.17,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.255872,61.11,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.646938,52.19,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.023945,55.95,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.415963,59.05,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.597686,68.06,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.600385,63.07,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.831564,59.07,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.842561,63.09,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.227936,61.06,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.231224,55.34,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.284489,52.04,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.394512,45.05,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.755691,52.1,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.794784,57.13,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.965804,63.79,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.974897,69.07,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.976961,61.08,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.330135,61.08,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.335985,57.11,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.706235,52.02,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.929999,46.18,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.041473,46.98,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.158298,59.03,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.345713,63.06,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.512448,54.0,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.719205,65.59,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.726575,71.05,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.1134,47.02,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.302063,56.96,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.488616,52.03,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.499659,59.12,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.868956,52.03,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.079205,63.28,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.083287,68.12,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.089818,71.04,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.092561,59.12,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.437414,59.14,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.439364,68.15,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.442131,70.74,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.445169,51.5,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.445328,63.18,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.844874,51.78,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.848072,63.07,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.848661,68.09,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.849523,70.52,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.858094,51.97,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.233877,68.13,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.241904,63.08,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.243967,57.11,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.258979,47.0,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.613491,57.12,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.828548,68.1,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.830112,63.07,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.834466,46.98,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.225419,47.03,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.391859,57.09,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.587278,47.6,5,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.78399,49.1,5,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.970702,49.02,5,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.163174,67.52,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.173922,64.05,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.175373,59.06,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.579001,68.08,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.583242,64.08,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.587709,48.38,5,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.59102,59.11,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.988616,49.04,5,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.991178,67.99,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.993355,64.08,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.999205,59.13,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.355283,44.14,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.77111,54.13,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.944103,68.08,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.945419,63.09,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.949908,59.07,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.338661,44.09,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.515781,54.17,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.665555,55.08,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.718185,45.06,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.087845,45.06,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.293514,63.5,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.293559,69.05,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.300679,61.09,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.304307,57.22,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.69102,63.5,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.692992,61.09,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.702425,57.21,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.301246,52.15,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.499319,56.15,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.057346,68.04,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.074489,64.13,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.459296,52.02,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.629364,54.38,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.840022,45.08,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.915146,52.12,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
21.929546,57.18,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.42467,69.08,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.42823,63.41,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.433378,61.1,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.443922,57.15,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.810203,63.65,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.835146,52.09,4,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.837029,61.01,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
22.842403,57.07,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.215396,65.39,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.217346,63.06,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.222425,59.1,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.2334,46.91,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.602834,65.71,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.617459,71.07,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.623468,46.96,5,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.627663,63.13,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
23.629273,59.19,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.01492,59.06,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.18433,54.09,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.200294,71.05,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
24.555078,63.13,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
