time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.045078,44.05,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.238525,45.06,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.427459,44.02,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.58848,45.07,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.815781,43.98,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.99984,45.07,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.191632,44.01,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.371836,45.08,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.578389,41.98,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.774013,45.08,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.969228,41.93,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.15789,45.09,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.340997,41.96,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.550158,45.09,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.735555,41.96,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.93399,45.09,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.119999,39.93,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.322788,45.08,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.506575,39.88,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.656371,45.06,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.862811,39.9,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.079251,45.06,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.270566,39.85,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.461518,47.15,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.669636,39.88,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.738843,49.15,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.098888,49.12,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
