time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.005477,56.18,4,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.006202,61.13,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.007654,65.12,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.008379,48.98,5,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.008379,68.04,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.394161,73.06,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.398515,68.03,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.405205,65.15,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.410057,61.14,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.413118,56.2,4,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.420375,48.91,5,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.770488,48.96,5,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.77491,56.22,4,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.778583,61.11,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.78144,65.11,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.39822,48.97,5,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.652529,67.63,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.661962,48.94,5,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.665409,61.13,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.66686,56.15,4,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.668311,65.18,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.675567,73.01,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.043436,67.71,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.075227,56.17,4,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.195499,56.18,4,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.198175,60.12,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.205545,68.02,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.207722,71.96,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.575567,71.98,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.576134,68.06,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.59203,59.99,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.595771,56.25,4,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.970715,56.25,4,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.972279,60.13,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.977858,68.12,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.98076,72.04,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.779921,60.13,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.78237,56.34,4,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.788175,68.18,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.791531,72.02,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.886497,71.95,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.895771,68.05,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.16457,68.04,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.191259,56.11,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.197109,51.12,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.317926,51.09,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.320896,44.47,5,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.334547,56.13,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.477812,53.17,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.47881,46.04,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.750125,70.05,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.753912,64.92,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.768152,58.14,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.775409,53.08,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.781214,45.93,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.127971,46.1,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.130034,53.1,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.135998,58.18,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.148901,65.06,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.656384,46.09,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.666542,53.15,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.909059,46.07,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.919876,58.22,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.921327,53.2,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.927132,64.96,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.927427,70.08,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.04466,70.0,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.064683,64.83,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.07339,57.94,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.17339,70.93,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.185771,47.88,5,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.309558,71.99,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.315182,67.9,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.32847,58.65,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.433277,48.0,5,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.439853,52.99,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.445499,60.19,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.448493,62.99,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.453685,68.14,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.458651,72.04,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.698402,47.95,5,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.69983,60.25,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.704819,53.02,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.713572,68.12,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.719422,62.8,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.730261,72.0,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.115907,71.99,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.121712,68.11,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.126905,62.95,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.137019,60.23,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.139195,53.05,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.512778,52.96,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.512778,60.27,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.516248,62.98,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.522211,68.12,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.525681,71.96,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.753028,53.03,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.758946,60.26,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.763844,68.08,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.766202,63.02,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.788561,72.02,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.909332,71.95,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.916021,68.1,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.925454,63.04,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.932665,60.3,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.934615,53.04,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.192483,68.1,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.200579,63.02,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.206157,60.34,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.208561,53.07,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.461123,64.21,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.467654,61.09,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.472665,53.9,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.570556,53.94,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.577472,61.19,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.584161,65.05,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.847064,61.23,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.84822,54.03,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.854298,66.05,2,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.857926,70.09,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.860828,73.05,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.253141,73.04,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.254592,68.07,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.266928,54.02,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.267472,61.23,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.389898,68.06,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.395,73.04,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.650397,61.24,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.654184,54.0,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.656157,68.72,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.66144,73.02,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.0572,70.08,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.065182,73.02,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.071214,61.21,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.074116,54.03,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.458424,48.99,5,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.462733,59.14,3,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.463459,54.05,4,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.464184,64.02,2,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.467087,67.98,1,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.47144,73.05,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.697336,56.12,4,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.700896,61.13,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.709059,65.02,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.978923,49.07,5,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.984547,61.16,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.98466,56.07,4,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.986837,65.07,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.995545,73.06,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.261282,61.12,3,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.386452,73.01,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
