time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.01491,61.08,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.287631,60.06,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.517087,60.1,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.530647,63.18,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.793549,63.11,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.79661,58.08,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.34169,56.16,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.622393,63.14,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.640533,58.07,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.902415,55.17,3,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.170601,56.15,3,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.408833,54.2,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.413617,45.17,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.704252,54.31,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.715137,58.1,2,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.991803,53.15,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.532257,51.23,4,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.796338,53.18,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.048515,54.2,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.312846,53.09,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.349241,48.23,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.616588,49.17,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.916973,60.12,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.206724,61.05,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.462234,48.28,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.777472,49.2,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.016248,60.09,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.250533,61.02,2,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.489014,71.02,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
