time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.205926,42.04,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.449146,50.16,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.672479,49.15,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.917195,45.08,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.191595,47.19,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.3774,43.01,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.565994,42.12,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.838828,40.01,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.062275,42.06,5,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.319826,42.99,5,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.567717,45.03,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.800347,50.21,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.010483,49.15,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.238601,45.03,5,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.460438,47.25,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.69579,49.15,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.873454,45.1,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.901776,52.2,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.161663,49.25,4,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.384951,50.32,4,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.61452,52.14,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.848692,54.16,3,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.087604,57.07,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.317445,59.07,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.550574,62.14,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.793386,61.08,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.021504,59.06,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.258511,57.07,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.492411,59.07,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.708533,61.11,1,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.949622,62.12,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.164996,66.04,0,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.411889,67.05,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.821753,66.04,0,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.036175,67.06,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.27681,69.05,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.437105,71.02,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.760688,69.02,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.209962,67.02,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.62461,69.03,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.089758,67.13,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.291118,66.02,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.575109,66.02,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.349418,64.06,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.560234,62.07,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.754452,64.08,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.991459,62.06,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.233273,74.04,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.703454,73.01,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.157785,69.1,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.608488,71.03,0,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.085177,67.11,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.513431,66.05,1,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.040688,64.08,1,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.503703,62.06,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.904928,59.04,2,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
20.352025,62.04,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
