time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.013644,70.35,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.01437,73.96,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.531853,69.08,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.544325,72.04,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.055753,66.97,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.068225,70.01,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.344166,68.97,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.35954,71.99,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.79861,70.0,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.813985,74.01,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.299971,69.01,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.310742,72.06,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.803146,67.02,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.817068,70.02,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.331989,69.03,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.34242,72.0,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.839903,70.04,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.853826,74.03,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.114121,69.98,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.12369,73.97,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.618406,72.0,1,13,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.633055,74.99,0,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.129427,70.03,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.144461,73.98,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.432873,69.05,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.446093,72.02,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.913259,69.95,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.92793,73.97,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.397749,69.04,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.419336,72.05,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.925663,67.02,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.947839,70.03,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.673871,68.01,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.021558,65.03,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.255186,65.02,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.270107,69.02,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.00208,69.99,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.016139,67.04,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.003168,69.02,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.235889,65.06,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
10.252715,69.02,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.012941,67.08,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.028316,69.99,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.559608,65.06,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
11.570742,69.04,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.329994,65.09,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.342465,69.03,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.627205,67.02,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
12.644892,63.06,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.102692,63.08,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.119517,67.03,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.599177,65.07,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.612375,69.0,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.815799,63.03,1,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
13.816048,67.04,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.112034,65.03,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.340243,62.07,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.351989,65.02,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.833576,62.08,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
14.848951,65.0,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.084098,65.05,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.086887,60.12,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.357273,60.09,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.635118,65.09,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
15.911898,67.79,0,4,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.108474,72.23,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.404053,69.97,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.42149,73.02,0,9,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.909654,68.96,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
16.934347,71.99,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.432805,67.04,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.452556,69.98,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.714574,68.95,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
17.727046,71.96,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.191059,69.88,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.205708,73.92,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.699313,69.03,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
18.709268,72.05,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.218112,67.03,1,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.241263,70.0,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
19.719223,71.95,0,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
