time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.005603,64.04,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.006011,48.28,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.006215,52.27,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.007054,55.1,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.00778,60.12,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.186238,52.2,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.194945,55.07,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.444718,48.24,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.449185,52.25,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.455104,55.09,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.463811,60.13,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.465739,64.06,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.608324,52.25,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.678074,55.08,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.680251,60.12,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.684401,64.1,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.717825,52.21,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.772133,64.05,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.783222,60.1,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.79338,55.06,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.055104,48.24,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.055104,52.21,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.225149,60.08,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.245467,48.19,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.246011,52.18,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.251272,55.05,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.272111,64.04,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.43143,50.08,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.442927,45.1,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.453653,55.08,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.525557,59.08,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.546011,50.12,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.552428,45.99,4,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.603018,55.06,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.619095,62.13,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.827938,47.13,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.82939,50.12,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.833199,55.07,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.844083,62.17,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.852904,67.05,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.049752,62.16,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.161793,67.07,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.167712,62.18,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.173517,55.09,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.181453,50.14,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.445195,47.19,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.447666,50.15,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.453267,55.08,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.459798,62.16,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.467054,67.05,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.846147,47.22,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.848324,50.16,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.853494,55.09,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.859299,62.18,1,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.87041,67.07,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.033517,67.15,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.056011,50.12,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.063267,55.06,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.073426,59.06,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.153176,67.08,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.163335,59.37,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.16914,56.04,2,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.17422,51.68,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.181566,45.13,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.262043,45.17,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.269208,52.29,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.269934,57.08,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.275739,60.11,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.680115,52.23,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.680523,45.19,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.683857,57.09,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.691839,60.16,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.697009,67.12,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.89397,60.12,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.89914,67.13,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.955104,52.22,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.996306,67.13,0,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.000569,60.13,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.004492,57.09,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.147644,52.26,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.179798,64.06,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.188891,60.14,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.191068,57.1,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.285013,45.18,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.291861,52.26,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.294764,57.1,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.303471,60.15,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.306714,64.06,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.508437,57.1,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.517621,60.14,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.522088,64.06,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.615625,64.05,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.621317,59.99,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.628823,57.01,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.633199,52.18,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.708437,45.19,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.729616,55.04,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.809367,55.04,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.812292,50.1,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.820841,46.79,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.826487,40.2,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.891317,52.15,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.925988,47.3,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.100433,47.24,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.101272,40.16,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.285013,40.16,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.28812,47.26,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.295467,52.14,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.305943,55.06,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.310297,59.08,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.313925,64.04,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.469571,59.09,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.47465,55.06,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.578891,64.04,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.586328,59.1,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.591408,55.06,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.684922,47.21,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.686056,40.19,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.697984,52.18,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.703811,55.08,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.709707,59.1,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.712337,64.04,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.888755,52.15,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.898188,55.06,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.909798,59.08,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.097621,40.1,5,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.099163,47.41,4,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.103517,52.24,3,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.111702,55.09,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.118959,59.15,1,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.12041,64.06,0,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.280727,45.23,4,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.282904,50.2,3,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.310183,60.02,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.32397,55.09,2,0,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.354242,41.15,5,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.406714,65.11,0,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.415331,60.18,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.426215,57.18,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.440002,48.23,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.704378,41.42,5,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.71041,48.47,4,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.713312,53.23,3,3,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.715603,57.23,2,2,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.722133,60.21,1,1,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
