time_sec,midi,string,fret,hammer,pull_off,harmonic,grace,slide,tied,tuning
0.00641,62.09,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.007861,46.07,5,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.091875,58.09,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.684256,70.07,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.684868,58.12,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
0.69446,65.04,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.165684,62.1,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.477929,53.15,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
1.937861,62.1,2,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.19251,70.08,0,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.194142,65.01,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.194528,58.17,3,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.946093,53.27,4,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.951331,69.04,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
2.95582,65.07,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.324755,60.05,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.601625,57.16,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
3.999743,65.12,1,6,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.000469,69.05,0,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
4.725049,60.05,2,5,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.044097,57.16,3,7,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.435684,63.2,2,8,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
5.735435,55.06,4,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.177544,67.08,2,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.483417,62.12,3,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.483417,69.03,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.660265,70.08,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
6.945367,67.04,2,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.194755,62.1,3,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.199993,74.03,0,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.65226,67.11,2,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
7.926183,70.13,1,11,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.281943,69.02,1,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.296274,60.04,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.320945,65.02,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.572532,57.27,4,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.579789,62.1,3,12,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.588383,50.02,5,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
8.993598,60.16,3,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.071943,65.04,2,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
9.161467,55.08,4,10,0,0,0,0,0,0,"E2,A2,D3,G3,B3,E4"
